Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result,Full
1,1,HEALS,Anoula,0,0,36,3440250,111802,31.58%,Mercguards,K6,loss,no
2,2,QDPS,Papi Fuego,5,4,50,0,1283287,48.25%,,,,no
3,8,QDPS,ZaddySimpy,5,1,45,0,1131250,43.86%,,,,no
4,5,BRUISER,TunaReformed,4,2,35,954,1016627,34.21%,,,,no
5,2,BRUISER,Brando,6,4,26,2320,886851,28.07%,,,,no
6,4,BRUISER,Grassy,3,1,51,0,844541,47.37%,,,,no
7,6,QDPS,Cheapo,6,3,29,0,834288,30.70%,,,,no
8,6,QDPS,Fe7on,2,2,35,0,839440,32.46%,,,,no
9,1,BRUISER,TheActualBobRoss,4,5,41,742,790602,39.47%,,,,no
10,6,BRUISER,Psalm 11,1,2,46,0,756054,41.23%,,,,no
11,5,HEALS,TheFrontLine,0,1,26,1338660,89687,22.81%,,,,no
12,4,BRUISER,Shield Rush,1,3,47,0,660196,42.11%,,,,no
13,6,BRUISER,SilverElement1,3,2,50,6562,618118,46.49%,,,,no
14,3,BRUISER,Hahttorii,4,5,31,0,619720,30.70%,,,,no
15,2,HEALS,SweetFeetGriffin,0,1,24,1173540,41751,21.05%,,,,no
16,6,HEALS,unit 00,0,1,22,1137162,35671,19.30%,,,,no
17,3,BRUISER,Yo Nature,3,6,38,0,583351,35.96%,,,,no
18,2,BRUISER,Castle of ill,1,4,40,1961,564529,35.96%,,,,no
19,5,BRUISER,whayousayy,2,4,29,1151,562899,27.19%,,,,no
20,10,DEX,Arii,4,1,27,0,556758,27.19%,,,,no
21,7,DEX,Primey1,5,3,21,0,552906,22.81%,,,,no
22,3,QDPS,VartasPadded,3,4,27,0,544813,26.32%,,,,no
23,2,CW,OldManGamin,2,4,21,0,548130,20.18%,,,,no
24,3,HEALS,RosePetals,0,1,22,1002095,43817,19.30%,,,,no
25,4,QDPS,Lady Miso,0,1,51,682,509264,44.74%,,,,no
26,8,DISRUPTOR,Zooob,3,2,28,11451,509812,27.19%,,,,no
27,10,DISRUPTOR,bunny,9,1,23,0,623872,28.07%,,,,no
28,7,DISRUPTOR,EvilArisen 2.0,6,3,25,0,466323,27.19%,,,,no
29,8,VG/IG,Anomaly,1,3,37,49119,423171,33.33%,,,,no
30,5,VG/IG,VG IG,0,2,50,10670,443382,43.86%,,,,no
31,9,HEALS,Colby Jr.,0,3,18,818827,42104,15.79%,,,,no
32,8,HEALS,Bweezin,1,2,29,780883,44638,26.32%,,,,no
33,7,DISRUPTOR,Ikxhrus,6,4,21,0,425940,23.68%,,,,no
34,4,HEALS,EnchantingFlame,0,1,32,768323,49087,28.07%,,,,no
35,9,DISRUPTOR,Bic'd,4,4,30,14827,411724,29.82%,,,,no
36,10,DEX,Recurve,3,4,14,0,421643,14.91%,,,,no
37,9,VG/IG,Kryee,1,2,49,12204,378456,43.86%,,,,no
38,5,QDPS,InfinityCrystal,2,4,28,0,378677,26.32%,,,,no
39,3,VG/IG,Arya Inyet,0,2,50,3213,329287,43.86%,,,,no
40,7,DISRUPTOR,Jitch,3,3,25,0,477204,24.56%,,,,no
41,9,DISRUPTOR,Draconicx,3,4,29,0,341191,28.07%,,,,no
42,4,QDPS,SobaNoodles,1,4,25,0,346160,22.81%,,,,no
43,1,HEALS,Panda212,0,1,32,509040,51226,28.07%,,,,no
44,7,HEALS,Melokore,0,3,10,577403,23348,8.77%,,,,no
45,10,DISRUPTOR,LegendNoxasMarv,2,2,26,14018,280130,24.56%,,,,no
46,1,FLAIL,SOCIAL SLOT,1,1,48,43377,229748,42.98%,,,,no
47,9,DISRUPTOR,TheAwesomest,1,3,28,218,244380,25.44%,,,,no
48,8,DISRUPTOR,KeepYourselfSafe,3,3,26,0,243547,25.44%,,,,no
49,10,HEALS,Hazy,0,3,13,456212,13901,11.40%,,,,no
50,1,TANK,CPH Money,0,1,48,474,165224,42.11%,,,,no
