Rank,Group,Build,Player,Kills,Deaths,Assists,Healing,Damage,KP %,Defender,Attacker,Result
1,1,HEALS,Anoula,1,0,55,7152835,306677,24.60%,Mercguards,Midnight,loss
2,5,BRUISER,Gourd,13,3,122,0,2011146,59.20%,,,
3,6,BRUISER,Psalm 11,5,4,94,0,1941742,43.40%,,,
4,5,QDPS,ZaddySimpy,2,2,102,0,1748338,45.60%,,,
5,6,BRUISER,SilverElement1,13,5,98,108,1708029,48.70%,,,
6,2,BRUISER,Brando,7,9,68,3418,1717630,32.90%,,,
7,6,QDPS,Fe7on,12,3,70,0,1695781,36.00%,,,
8,2,BRUISER,TunaReformed,7,8,74,0,1720125,35.50%,,,
9,3,BRUISER,IsThatBeauNerrs,7,5,85,0,1537617,40.40%,,,
10,6,QDPS,Cheapo,5,6,66,0,1527420,31.10%,,,
11,1,BRUISER,Yo Nature,2,8,88,0,1446961,39.50%,,,
12,3,BRUISER,Hahhtorii,5,8,64,295,1439501,30.30%,,,
13,5,QDPS,ebarbs,13,7,65,0,1415702,34.20%,,,
14,4,VG/IG,Simp4Heals,4,3,126,28236,1467683,57.00%,,,
15,4,BRUISER,Shield Rush,6,5,98,0,1363149,45.60%,,,
16,8,QDPS,TaintyApe,5,3,91,0,1341768,42.10%,,,
17,6,HEALS,TheFrontLine,0,5,42,2421321,67617,18.40%,,,
18,4,CW,OldManGamin,9,11,61,0,1244334,30.70%,,,
19,8,DISRUPTOR,Zooob,8,2,89,16497,1176995,42.50%,,,
20,7,DEX,Primey1,12,4,44,0,1191109,24.60%,,,
21,7,DISRUPTOR,EvilArisen 2.0,10,8,39,0,1151694,21.50%,,,
22,10,DEX,Ariii,5,2,70,0,1134166,32.90%,,,
23,5,BRUISER,whayousayy,4,11,63,0,1116934,29.40%,,,
24,3,QDPS,Ekong,9,4,72,0,1079879,35.50%,,,
25,10,DEX,Recurve,11,3,65,0,1070716,33.30%,,,
26,9,DISRUPTOR,Luna-TerraLulu,3,4,76,0,1078204,34.60%,,,
27,8,VG/IG,Anomaly,4,3,101,28299,983659,46.10%,,,
28,5,HEALS,unit 00,0,4,44,1834717,61818,19.30%,,,
29,8,HEALS,Bweezin,0,4,57,1767294,59303,25.00%,,,
30,7,HEALS,pegame,0,3,33,1757712,61184,14.50%,,,
31,3,HEALS,RosePetals,0,4,44,1630593,90060,19.30%,,,
32,10,DISRUPTOR,bunny,5,3,62,0,892834,29.40%,,,
33,7,VG/IG,IIIIIIIIIIII,5,3,63,19089,849723,29.80%,,,
34,4,HEALS,BlessYourHeart,0,9,47,1484132,97716,20.60%,,,
35,9,HEALS,Colby Jr.,0,9,39,1399886,92019,17.10%,,,
36,1,HEALS,Panda212,0,4,57,1362532,92312,25.00%,,,
37,9,DISRUPTOR,InfinityCrystal,4,11,52,0,761173,24.60%,,,
38,2,HEALS,Plucky,0,5,63,1334925,94554,27.60%,,,
39,4,BRUISER,Aeoness,1,11,41,0,769874,18.40%,,,
40,10,HEALS,GIRL,0,4,27,1367961,49944,11.80%,,,
41,2,VG/IG,Arya Inyet,1,8,76,38471,681487,33.80%,,,
42,7,DISRUPTOR,Draconicx,5,15,43,0,668757,21.10%,,,
43,9,DISRUPTOR,TheAwesomest,8,12,39,17634,653126,20.60%,,,
44,3,HEALS,Restricted Guy,0,2,38,1224532,55863,16.70%,,,
45,1,FLAIL,TheActualBobRoss,0,3,119,37237,589485,52.20%,,,
46,9,VG/IG,Kryee,3,8,87,22472,598578,39.50%,,,
47,10,DISRUPTOR,LegendNoxasMarv,6,6,59,35212,501510,28.50%,,,
48,8,DISRUPTOR,KeepYourselfSafe,5,7,67,0,508389,31.60%,,,
49,1,TANK,CPH Money,1,1,121,0,420682,53.50%,,,
50,2,FLAIL,Pocahontlts,2,5,96,48292,431246,43.00%,,,
